Time,Demand,Day,Month,Year,Winter,Spring,Summer,Fall,sma,ema
2014-05-08 18:00:00,5,8,5,2014,0,1,0,0,2.4,2.8777435691104145
2014-05-08 21:00:00,3,8,5,2014,0,1,0,0,1.6,3.025100094942537
2014-05-09 00:00:00,2,9,5,2014,0,1,0,0,1.6,2.918495712740276
2014-05-09 03:00:00,0,9,5,2014,0,1,0,0,2.6,4.350066729961691
2014-05-09 06:00:00,2,9,5,2014,0,1,0,0,4.6,5.278997141826851
2014-05-09 09:00:00,1,9,5,2014,0,1,0,0,4.6,3.566711153307794
2014-05-09 12:00:00,3,9,5,2014,0,1,0,0,4.4,3.5193314278845675
2014-05-09 15:00:00,7,9,5,2014,0,1,0,0,4.2,3.0444741022051964
2014-05-09 18:00:00,10,9,5,2014,0,1,0,0,3.8,4.012887618589712
2014-05-09 21:00:00,2,9,5,2014,0,1,0,0,2.8,3.6963160681367975
2014-05-10 00:00:00,0,10,5,2014,0,1,0,0,3.6,4.675258412393141
2014-05-10 03:00:00,2,10,5,2014,0,1,0,0,5.0,4.797544045424532
2014-05-10 06:00:00,5,10,5,2014,0,1,0,0,5.4,4.450172274928761
2014-05-10 09:00:00,5,10,5,2014,0,1,0,0,5.0,4.198362696949688
2014-05-10 12:00:00,6,10,5,2014,0,1,0,0,4.0,2.966781516619174
2014-05-10 15:00:00,7,10,5,2014,0,1,0,0,2.8,2.7989084646331253
2014-05-10 18:00:00,4,10,5,2014,0,1,0,0,3.2,4.9778543444127825
2014-05-10 21:00:00,3,10,5,2014,0,1,0,0,3.2,3.199272309755417
2014-05-11 00:00:00,0,11,5,2014,0,1,0,0,5.4,7.985236229608521
2014-05-11 03:00:00,0,11,5,2014,0,1,0,0,6.2,3.4661815398369447
2014-05-11 06:00:00,9,11,5,2014,0,1,0,0,6.6,5.990157486405681
2014-05-11 09:00:00,4,11,5,2014,0,1,0,0,5.0,2.644121026557963
2014-05-11 12:00:00,14,11,5,2014,0,1,0,0,4.2,3.9934383242704543
2014-05-11 15:00:00,4,11,5,2014,0,1,0,0,1.4,1.7627473510386422
2014-05-11 18:00:00,2,11,5,2014,0,1,0,0,1.6,4.32895888284697
2014-05-11 21:00:00,1,11,5,2014,0,1,0,0,2.0,2.5084982340257613
2014-05-12 00:00:00,0,12,5,2014,0,1,0,0,4.6,7.5526392552313135
2014-05-12 03:00:00,0,12,5,2014,0,1,0,0,6.0,4.005665489350507
